nprocs,size,max_time,avg_time,speed_up,efficiency,total_overhead
1,720,3.8087708950,3.8087708950,1.0,1.0,0.0
4,720,0.9542479515,0.9542327523,3.9913849319906034,0.9978462329976509,0.008220910999999997
9,720,0.5706961155,0.5382004844,6.673903661781626,0.7415448513090696,1.3274941444999997
1,1008,10.6198878288,10.6198878288,1.0,1.0,0.0
4,1008,2.6211109161,2.6203906536,4.051674335324019,1.0129185838310049,-0.13544416439999907
9,1008,1.5525319576, 1.4242667357,6.840366651915416,0.7600407391017129,3.3528997896000003
1,1440,31.0295331478,31.0295331478,1.0,1.0,0.0
4,1440,7.6304569244,7.6290170550,4.066536703532983,1.0166341758832458,-0.5077054501999996
9,1440,4.5269920826,4.1517559422,6.854337843237119,0.7615930936930133,9.713395595600002
1,1728,53.6396448612,53.6396448612,1.0,1.0,0.0
4,1728,13.2416582108,13.2328855395,4.050825357918624,1.012706339479656,-0.6730120179999943
9,1728,7.8230550289,7.8193351958,6.856610961196609,0.7618456623551788,16.767850398899995
1,2160,104.9821150303,104.9821150303,1.0,1.0,0.0
4,2160,26.2086858749,26.1941807866,4.0056230034349465,1.0014057508587366,-0.1473715306999992
9,2160,15.2622308731,13.9873613252,6.878556346263452,0.764284038473717,32.3779628276